text,label
"Обстріл Харкова з РСЗВ – пошкоджено інфраструктуру",attack
"Колона танків РФ помічена на трасі біля Сватового",movement
"Україна знищила власну інфраструктуру, щоб звинуватити росію",disinfo
"Сьогодні сонячно, гарна погода для прогулянки",neutral
"Повідомляють про нові удари по енергетичній інфраструктурі",attack
"Ворожа техніка рухається в напрямку Бахмута",movement
"Росія рятує українців від нацизму",disinfo
"Вітаємо всіх з Новим роком!",neutral
"Пошкоджено підстанцію внаслідок нічної атаки дронами",attack
"ЗСУ помітили переміщення техніки в районі Кремінної",movement
"Західні медіа замовчують правду про Донбас",disinfo
"Працює кафе біля парку, приємна атмосфера",neutral
"Ворог готується до наступу на північному напрямку",attack
"Підрозділи переміщуються до кордону для ротації",movement
"Поширюють фейк про атаку на цивільні об’єкти",disinfo
"Сьогодні гарна погода, всі в доброму настрої",neutral
"Планується штурм позицій завтра вночі",attack
"Техніка рухається в бік фронту",movement
"Новини повідомляють неправду про наші втрати",disinfo
"Команда готується до звичайного тренування",neutral
"Закликають атакувати мирні міста",attack
"Група вирушила на нову локацію",movement
"Окупанти відкрили вогонь по житлових кварталах у Костянтинівці",attack
"Дрони-камікадзе атакували об’єкти в Київській області",attack
"Зафіксовано артилерійський обстріл інфраструктури у Нікополі",attack
"Противник завдав ракетного удару по складу пального",attack
"Триває масована атака по південному напрямку",attack
"Військові колони помічені біля Сіверська",movement
"Техніка залишає позиції в районі Лимана",movement
"Переміщення ворожих БМП фіксується поблизу Куп’янська",movement
"Колона бронетехніки рухається в напрямку Запоріжжя",movement
"Сили противника передислокуються на східному фронті",movement
"Українські військові самі обстрілюють цивільне населення",disinfo
"Відео з нібито атакою ЗСУ виявилось постановкою",disinfo
"Українська влада вигадає перемоги, щоб отримати допомогу",disinfo
"Війна вигідна Києву для утримання влади",disinfo
"НАТО керує діями української армії напряму",disinfo
"На вихідних планується фестиваль мистецтв",neutral
"Місцевий ринок сьогодні працює до 18:00",neutral
"У бібліотеці з’явились нові книжки",neutral
"Школярі повернулися до навчання після канікул",neutral
"У місті запустили нову лінію громадського транспорту",neutral
"У Дніпрі відкрилася нова фотовиставка просто неба",neutral
"Росія використовує гуманітарну допомогу для шпигунства",disinfo
"Тривають вибухи в районі Покровська після ракетного удару",attack
"Військова техніка РФ просувається в бік Авдіївки",movement
"Завтра в Києві відбудеться концерт класичної музики",neutral
"Ракети поцілили у промислову зону Запоріжжя",attack
"На заході країни триває звичайне навчання резервістів",neutral
"Підрозділи ЗСУ помітили активність ворожих дронів у тилу",movement
"Є докази, що США навмисно затягують війну",disinfo
"Повідомляють про потужну атаку дронів у Миколаєві",attack
"Росія направляє війська для миротворчої місії",disinfo
"Колона вантажівок із боєприпасами вирушила з Бєлгорода",movement
"У Харкові відкрився новий центр волонтерської допомоги",neutral
"Фейки про успіхи ЗСУ розганяють для підтримки настроїв",disinfo
"Українські дрони вразили склади пального ворога",attack
"Ворожа піхота просувається вздовж траси Т0504",movement
"Сьогодні в центрі міста проводять вуличний ярмарок",neutral
"Українці самі знищують енергетику, щоб звинуватити РФ",disinfo
"ЗСУ зафіксували ротацію ворожих частин під Токмаком",movement
"Удар ракетою зруйнував будівлю складу поблизу Краматорська",attack
"Ракетний обстріл зруйнував склад гуманітарної допомоги у Краматорську",attack
"Війська противника переправляються через Сіверський Донець",movement
"Російські ЗМІ стверджують, що ЗСУ підривають власні мости",disinfo
"Місцева бібліотека проводить літній читацький клуб",neutral
"Фіксується пересування техніки біля Нової Каховки",movement
"На півдні зафіксовано атаку дронами-камікадзе по інфраструктурі",attack
"Прокремлівські джерела заявляють про вигадані біолабораторії в Україні",disinfo
"У центрі міста встановили нові лавки та ліхтарі",neutral
"ЗСУ зупинили наступ ворога на лінії зіткнення",attack
"Колона бронетранспортерів рухається на захід",movement
"На вихідних прогнозують дощі та грози",neutral
"Росіяни звинувачують ЗСУ у використанні забороненої зброї без доказів",disinfo
"ЗСУ завдали удару по командному пункту ворога",attack
"Спостерігається ротація особового складу на південному напрямку",movement
"У школі стартувала програма профорієнтації для підлітків",neutral
"Фейкове відео нібито з полону українських військових поширюють у соцмережах",disinfo
"Підрозділи просуваються через ліси біля Кремінної",movement
"Сили оборони знищили артилерійську батарею противника",attack
"Російські канали називають окупацію 'визволенням'",disinfo
"У місті відкрили виставку українського живопису",neutral
"Удар дронів пошкодив критичну інфраструктуру на Одещині",attack
"Техніка супротивника просувається через промзону Бахмута",movement
"Російські ЗМІ повідомляють, що ЗСУ планували 'знищення мирного населення'",disinfo
"У бібліотеці стартував книжковий марафон для молоді",neutral
"Колона з танками помічена на підходах до Куп’янська",movement
"Артилерія вразила об'єкти поблизу лінії фронту",attack
"Українська влада використовує конфлікт для власного піару",disinfo
"Цими вихідними у центрі проходитиме фестиваль вуличної їжі",neutral
"Дрони-камікадзе атакували нафтобазу в північному регіоні",attack
"Поблизу Лисичанська спостерігається переміщення техніки",movement
"На центральній площі відбулась виставка дитячих малюнків",neutral
"Фейкові відео з 'добровільною капітуляцією' українських солдатів ширяться в мережі",disinfo
"ЗСУ завдали точкового удару по складу боєприпасів противника",attack
"Ротація особового складу зафіксована в районі Запоріжжя",movement
"Науковий центр організував лекцію про космос",neutral
"Росія звинувачує Україну в обстрілах без підтверджень",disinfo
"Ракетний обстріл пошкодив об'єкти енергетики у Львівській області",attack
"Сили РФ передислокуються через переправу на Сіверському Донці",movement
"Відкрилась виставка до 150-річчя міського музею",neutral
"З'явилися нові фейки про евакуацію нібито 'російського населення'",disinfo
"Авіаудар пошкодив військову інфраструктуру поблизу фронту",attack
"Танкова колона рухається в напрямку Слов’янська",movement
"У місцевому парку висадили нові дерева",neutral
"ЗМІ поширюють неправдиві заяви про 'втрати ЗСУ в тисячах щодня'",disinfo
"ЗСУ завдали удару по ворожій артилерійській установці",attack
"Підрозділи ЗСУ висунулись до передових позицій",movement
"Університет організовує День відкритих дверей",neutral
"Десантно-штурмові підрозділи ворога висадились на прифронтовій ділянці",movement
"Росія заявляє, що вторгнення було 'превентивним заходом'",disinfo
"На околицях міста прогриміли вибухи в результаті масованої атаки",attack
"Дрони вразили об'єкти енергетики в Черкаській області",attack
"Росія просуває техніку в напрямку Торецька",movement
"ЗСУ самі руйнують мости, щоб звинуватити ворога",disinfo
"У місті відкрили нову кав’ярню з живою музикою",neutral
"Ракетний обстріл зруйнував житловий будинок у Павлограді",attack
"Піхотні підрозділи переміщуються з боку Лимана",movement
"Росія визволяє території від 'української окупації'",disinfo
"Місцева школа провела конкурс малюнків",neutral
"ЗСУ здійснили удар по складу боєприпасів на сході",attack
"Колона техніки рухається в бік Попасної",movement
"Російські медіа стверджують, що війна — це 'визволення'",disinfo
"На центральній площі відбувся концерт симфонічного оркестру",neutral
"Удар дронів пошкодив трансформаторну підстанцію",attack
"Ротаційне переміщення особового складу ЗСУ фіксується під Гуляйполем",movement
"ЗМІ приховують 'істину' про Донбас, яку знає лише Росія",disinfo
"У місті відкрилась виставка картин місцевих художників",neutral
"Обстріли пошкодили газогін поблизу Красногорівки",attack
"Противник перегруповується в напрямку Соледара",movement
"Україна сама винна у конфлікті, вважає російська пропаганда",disinfo
"На вихідних працюватиме мобільна медична клініка",neutral
"Ворожа артилерія вразила об'єкти поблизу Сіверська",attack
"Колона вантажівок з боєприпасами виїхала з Донецька",movement
"Фейки про 'геноцид' в Донбасі поширюються через соцмережі",disinfo
"Центр міста прикрасили до свята Івана Купала",neutral
"Повідомляють про масовану атаку на об'єкти ППО",attack
"Бронетехніка переміщується у напрямку Курахового",movement
"ЗСУ навмисно атакують цивільну інфраструктуру — заявляє РФ",disinfo
"Організовано дитячий табір з активними іграми",neutral
"Вибухи пролунали в районі Південного вокзалу",attack
"Підрозділи ЗСУ змінили розташування поблизу Дружківки",movement
"НАТО змушує Україну вести війну — заявляють пропагандисти",disinfo
"У бібліотеці проводять марафон настільних ігор",neutral
"Артилерійський обстріл зруйнував житлові будинки у Нікополі",attack
"Фіксується рух ворожої техніки поблизу Золотого",movement
"Українська влада приховує справжні втрати — поширюють у росЗМІ",disinfo
"Місцева громада проводить благодійний ярмарок",neutral
"Дрон-камікадзе влучив у об'єкт нафтопереробки",attack
"Піхота просувається вздовж шосе поблизу Бахмута",movement
"ЗСУ діють під командуванням іноземних радників — фейк з росЗМІ",disinfo
"Клуб організував відкриту лекцію з мистецтва",neutral
"Пошкоджено електропідстанцію внаслідок ракетної атаки",attack
"Російська техніка заходить на північні околиці Торецька",movement
"ЗМІ замовчують 'визвольну' місію Росії — заявляють пропагандисти",disinfo
"У школі стартував тиждень науки",neutral
"Масований обстріл зафіксовано у районі Дніпра",attack
"Ворожі БТРи помічені на трасі біля Часового Яру",movement
"РФ заявляє про співпрацю з місцевими жителями — ще одна дезінформація",disinfo
"Відбувся турнір з шахів серед молоді",neutral
"ЗСУ завдали удару по складу з боєприпасами в районі Лисичанська",attack
"Російські війська переміщуються в бік Сватового",movement
"Пропагандисти стверджують, що ЗСУ використовують хімічну зброю",disinfo
"У місті відкрили новий спортивний комплекс",neutral
"Дрони атакували об'єкти енергетики в Одеській області",attack
"Ворожа техніка рухається в бік Авдіївки",movement
"Російські ЗМІ поширюють фейки про 'звірства' українських військових",disinfo
"У парку відбувся фестиваль вуличної їжі",neutral
"ЗСУ знищили ворожу артилерійську батарею",attack
"Колона техніки помічена на підходах до Сєвєродонецька",movement
"Російські канали стверджують, що ЗСУ нібито 'знищують власні міста'",disinfo
"У місті відкрилася виставка сучасного мистецтва",neutral
"Ракетний обстріл пошкодив об'єкти інфраструктури в Харкові",attack
"Підрозділи ЗСУ переміщуються в районі Лиману",movement
"Російські ЗМІ стверджують, що війна — це 'боротьба з нацизмом'",disinfo
"У бібліотеці стартував курс з історії мистецтв",neutral
"Ракета поцілила в об’єкт критичної інфраструктури в Дніпрі",attack
"Танкові підрозділи переміщуються в напрямку Мар’їнки",movement
"Росія стверджує, що Україна планує застосувати ядерну зброю",disinfo
"У місті відкрили новий центр реабілітації для ветеранів",neutral
"Артилерія ворога обстріляла індустріальну зону Харкова",attack
"Фіксується переміщення особового складу в районі Сватового",movement
"ЗСУ нібито отримують прямі вказівки від ЦРУ — фейк росЗМІ",disinfo
"У парку з’явилися нові ігрові майданчики для дітей",neutral
"Безпілотники вразили склад боєприпасів у тилу противника",attack
"Колона вантажівок із технікою вирушила в бік Оріхова",movement
"ЗМІ Росії поширюють історії про 'добровільне об’єднання з РФ'",disinfo
"Центр зайнятості проводить тренінги з написання резюме",neutral
"Потужна ракета зруйнувала об’єкти ППО під Краматорськом",attack
"Техніка передислоковується з Бєлгорода у напрямку кордону",movement
"Росія звинувачує Україну в розробці біологічної зброї — без доказів",disinfo
"У школі провели День здоров’я з активними іграми",neutral
"Атака з повітря пошкодила об'єкти енергетики на сході",attack
"Колона БМП пересувається лісосмугою біля Кремінної",movement
"У західних областях приховують інформацію про призов — фейк",disinfo
"У місті відкрився новий кінотеатр з українським дубляжем",neutral
"Російська ракета влучила у цивільний об’єкт у Миколаєві",attack
"Війська переміщуються ближче до передової в районі Авдіївки",movement
"РосЗМІ просувають тезу про нібито 'підпільні тюрми ЗСУ'",disinfo
"У місті відбувся благодійний концерт на підтримку переселенців",neutral
"Масований обстріл зруйнував інфраструктуру на Харківщині",attack
"Техніка вирушає з тилових позицій до переднього краю",movement
"Українські біженці повертаються через погані умови в ЄС — фейк",disinfo
"Організовано курс з цифрової грамотності для пенсіонерів",neutral
"Вночі атаковано об'єкти логістики в районі Павлограду",attack
"Колона бронетранспортерів вирушила в напрямку Бахмута",movement
"Росія заявляє, що захищає культурну спадщину Донбасу — маніпуляція",disinfo
"На вихідних відкриється новий спортивний майданчик",neutral
"Дрони вразили склади пального під Мелітополем",attack
"ЗСУ фіксують активність ворожих БПЛА в південному напрямку",movement
"РФ поширює фейк, що Україна продає західну зброю на чорному ринку",disinfo
"У бібліотеці відбувся майстер-клас з каліграфії",neutral
"Артудар пошкодив об’єкти логістики поблизу прифронтової зони",attack
"Підрозділи ворога змінили розташування під Торецьком",movement
"ЗСУ самі атакують власні позиції — ще один фейк з Телеграм-каналів",disinfo
"Місцева громада провела толоку з озеленення вулиць",neutral
"Ракетний удар знищив об’єкти зв’язку поблизу лінії фронту",attack
"Спостерігається рух колони танків на північному напрямку",movement
"ЗМІ приховують наслідки 'успішної спецоперації' Росії — фейкова нарація",disinfo
"У центрі міста відкрилася нова кав’ярня з кавою на пісні",neutral
"Пошкоджено електромережу внаслідок удару дронами",attack
"Колона БМП з’явилась поблизу населеного пункту Вугледар",movement
"Пропаганда РФ просуває тезу про 'звільнення від фашизму'",disinfo
"У музеї проводять виставку української кераміки",neutral
"Вибухи пролунали в районі залізничного вокзалу",attack
"Ворожі війська переміщуються в бік Сєвєродонецька",movement
"Російські ЗМІ стверджують, що ЗСУ нібито 'знищують власні міста'",disinfo
"У місті відбувся фестиваль вуличної музики",neutral
"Ракетний удар влучив у об'єкти критичної інфраструктури під Полтавою",attack
"Колона ворожої техніки просувається через ліс у напрямку Кремінної",movement
"Росія звинувачує ЗСУ в обстрілах власних позицій — чергова дезінформація",disinfo
"У місті відкрилася нова дитяча бібліотека",neutral
"Ворог завдав авіаудару по військовому об'єкту в Миколаївській області",attack
"Військові підрозділи здійснили передислокацію в районі Запоріжжя",movement
"Україна використовує мирних жителів як 'живий щит' — поширюють російські джерела",disinfo
"Сьогодні пройшов благодійний велопробіг",neutral
"Дрон атакував склад боєприпасів у тиловому районі",attack
"Підрозділи противника рухаються з північного напрямку",movement
"Фейки про утиски російськомовних громадян в Україні ширяться в Telegram",disinfo
"Відкрилась експозиція присвячена традиційному українському одягу",neutral
"Артилерія РФ обстріляла населені пункти на правому березі Дніпра",attack
"Ворожі сили перекидають техніку залізничним сполученням",movement
"Росія заявляє про 'звільнення' окупованих територій від корупції",disinfo
"Молодіжний центр організував серію тренінгів з лідерства",neutral
"Ракета поцілила в об’єкти водопостачання на сході",attack
"БМП просуваються вздовж залізничної лінії біля Авдіївки",movement
"Російські канали показують постановочні відео з 'врятованими' дітьми",disinfo
"На фестивалі просто неба виступили місцеві музичні гурти",neutral
"Унаслідок обстрілу пошкоджено газопровід у Харківській області",attack
"Спостерігається активність ворожої розвідки під Токмаком",movement
"ЗМІ РФ поширюють неправдиву карту територій, контрольованих Україною",disinfo
"У школі відбувся конкурс з програмування серед учнів",neutral
"Повітряний удар уразив склад техніки поблизу фронту",attack
"Фіксується передислокація сил ворога в районі Костянтинівки",movement
"Прокремлівські блогери стверджують, що 'Україна перестала існувати як держава'",disinfo
"Парк у центрі міста повністю реконструйовано",neutral
"Дрон-камікадзе завдав удару по нафтобазі у тилу ворога",attack
"Колона танків висунулася з району Луганська",movement
"РосЗМІ заявляють, що українці масово підтримують 'референдуми' — маніпуляція",disinfo
"Вихідними пройде книжковий ярмарок на головній площі",neutral
"Обстріли завдали шкоди інфраструктурі поблизу Слов’янська",attack
"У передмісті Донецька зафіксовано рух бронетранспортерів",movement
"Фейкові листівки з фейковими наказами розповсюджуються на окупованих територіях",disinfo
"У районі театру встановили інсталяцію до Дня Конституції",neutral
"Ракетна атака поцілила у виробничі потужності на півдні",attack
"Ворожі сили перекидають інженерну техніку до Лимана",movement
"Пропагандистські канали поширюють міфи про 'геноцид росіян'",disinfo
"У місті встановили новий пам’ятник українським поетам",neutral
"Дрони завдали удару по складах пального в тилу супротивника",attack
"Переміщення особового складу противника фіксується на північному заході",movement
"Росія стверджує, що воює не з Україною, а з НАТО — чергова маніпуляція",disinfo
"У літньому таборі стартували спортивні змагання",neutral
"Ракета влучила в об'єкти транспорту в Кривому Розі",attack
"Колона вантажівок залишає прифронтову зону",movement
"Фейкове відео з 'зізнаннями' українських полонених з’явилося в мережі",disinfo
"У центрі міста пройшла виставка скульптур просто неба",neutral
"Ракетний обстріл зруйнував трансформаторну підстанцію у Чернігові",attack
"Війська РФ перекидають техніку до Лиманського напрямку",movement
"РосЗМІ поширюють фейк про капітуляцію українських підрозділів",disinfo
"У місті відкрився центр вивчення іноземних мов",neutral
"Артилерійські удари спричинили пожежу на промисловому об'єкті",attack
"Колона БМП вирушила з району Токмака в східному напрямку",movement
"Росія просуває тезу, що 'Україна втратила незалежність'",disinfo
"На вихідних відбудеться свято меду в центрі міста",neutral
"Дрон влучив у пункт управління військами ворога",attack
"Фіксується переміщення противника в бік Сіверська",movement
"РФ звинувачує Україну в обстрілі дитсадка без доказів",disinfo
"У бібліотеці організували вечір української поезії",neutral
"Повітряна атака пошкодила об'єкти ППО на півдні",attack
"Перекидання техніки відбувається залізничним шляхом через Брянськ",movement
"Пропаганда РФ поширює тезу про 'втрату суб'єктності' України",disinfo
"У місті розпочали фестиваль вуличної кухні",neutral
"Під час нічної атаки зруйновано енергетичний вузол",attack
"Колона вантажівок із боєприпасами рухається до Лисичанська",movement
"Росія просуває фейк про 'етнічну чистку' в Україні",disinfo
"У школі проводять тиждень інформатики",neutral
"Унаслідок обстрілу постраждала транспортна інфраструктура",attack
"Піхота РФ просувається в напрямку селища Ямпіль",movement
"Російські джерела вигадують історії про біолабораторії",disinfo
"Парк прикрасили до Дня міста",neutral
"Дрон-камікадзе уразив об'єкт зв'язку у тилу",attack
"Підрозділи переміщуються ближче до лінії фронту",movement
"ЗСУ використовують 'чорну магію' — стверджують прокремлівські Telegram-канали",disinfo
"На фестивалі в місті виступили молоді гурти",neutral
"У результаті обстрілу зруйновано промислові об'єкти в Краматорську",attack
"Бронетехніка противника помічена на північ від Бахмута",movement
"Фейкова новина про заборону української мови поширюється серед росЗМІ",disinfo
"Місцева громада організувала толоку в парку",neutral
"Пошкодження критичної інфраструктури спричинило перебої з водопостачанням",attack
"Техніка РФ об'їжджає блокпости в напрямку Сватового",movement
"ЗСУ нібито планують 'знищити' своє населення — дезінформація",disinfo
"У музеї відкрито нову виставку археології",neutral
"Масована атака дронами вразила енергетичні об'єкти у Дніпрі",attack
"Ворожі сили перекидають резерви на південному фронті",movement
"Росія звинувачує Захід у керуванні українським урядом",disinfo
"Проведено турнір зі стрітболу серед старшокласників",neutral
"Після удару по складу боєприпасів чути вибухи протягом години",attack
"Колона з САУ рухається через прифронтову зону",movement
"Пропагандисти заявляють, що українці відмовляються від оборони",disinfo
"У міському центрі стартували безплатні курси для молоді",neutral
"Нічна атака пошкодила склад пального",attack
"ЗСУ фіксують переміщення техніки через тимчасовий міст",movement
"Вигадана історія про добровільну здачу українських міст шириться соцмережами",disinfo
"На площі відбувся ярмарок виробів ручної роботи",neutral
"Авіаудар влучив у комунікаційний вузол під Торецьком",attack
"Ворог перекидає сили морським шляхом із Криму",movement
"Фейкові документи із 'заявами на капітуляцію' публікують російські Telegram-канали",disinfo
"У будинку культури організували фестиваль шкільних театрів",neutral
"У результаті атаки виведено з ладу систему електропостачання",attack
"Ворожі колони з’являються в районі Новомихайлівки",movement
"Росія заявляє, що звільняє українців від 'режиму' — чергова маніпуляція",disinfo
"У міському парку відбуваються уроки йоги просто неба",neutral
"Серія вибухів пройшла по об'єктах інфраструктури на півночі",attack
"Фіксується масове переміщення особового складу під Лиманом",movement
"Прокремлівські джерела поширюють фейк про масову мобілізацію дітей",disinfo
"Відкрито нову експозицію у виставковому центрі",neutral
"Удар дронів пошкодив об'єкти нафтопереробки у Полтавській області",attack
"Техніка РФ рухається в напрямку Слов’янська",movement
"Російські медіа звинувачують Україну у створенні військових біолабораторій",disinfo
"У місті відкрили нову майстерню гончарства",neutral
"Ворожа ракета влучила у підстанцію у Херсонській області",attack
"Бронетехніка передислокована з району Кадіївки",movement
"Telegram-канали публікують фейки про 'визнання Криму'",disinfo
"У школі відкрили STEM-лабораторію для учнів",neutral
"Після атаки на склад боєприпасів кілька годин тривали вибухи",attack
"Спостерігається рух особового складу на південному напрямку",movement
"РосЗМІ заявляють, що українські міста згодні на окупацію",disinfo
"У центрі міста встановлено новий громадський фонтан",neutral
"Артилерійський обстріл пошкодив логістичні об'єкти у Запоріжжі",attack
"Колона вантажівок із боєприпасами прибула до Луганська",movement
"Пропагандисти поширюють фото, підписані як 'звільнення від нацизму'",disinfo
"На вихідних відкриється новий спортивний зал",neutral
"Ракета поцілила в інфраструктуру водопостачання",attack
"Техніка вирушила з тилового району на схід",movement
"ЗСУ нібито обстрілюють власні позиції — черговий фейк",disinfo
"У сільському клубі відбувся вечір української пісні",neutral
"Масована атака дронами пошкодила енергооб’єкти у Київській області",attack
"Переміщення військ супроводжується інженерною підтримкою",movement
"Росіяни заявляють, що ЗСУ вбивають власних мирних жителів",disinfo
"У музеї відкрили експозицію про історію писанки",neutral
"Повітряний удар зруйнував інфраструктуру під Бахмутом",attack
"Колона бронетранспортерів просувається в районі Красногорівки",movement
"РФ просуває тезу про 'штучну державу' Україну",disinfo
"У громади відкрився центр психологічної допомоги",neutral
"Удар ракетою знищив об'єкти зв’язку поблизу фронту",attack
"Особовий склад ЗС РФ фіксується біля Рубіжного",movement
"Поширюється фейк про те, що Україна відмовилася від ЗСУ",disinfo
"У бібліотеці стартувала літня програма читання",neutral
"Дрон з боєприпасами влучив у залізничний вузол",attack
"Перекидання техніки відбувається переважно в нічний час",movement
"Російські джерела поширюють фейкові кадри 'параду в Маріуполі'",disinfo
"Центр молоді проводить безкоштовні курси з фото-мистецтва",neutral
"У результаті атаки постраждали об'єкти критичної інфраструктури",attack
"БТРи помічені в лісосмузі біля Курахового",movement
"ЗМІ РФ заявляють, що ЗСУ планує 'атаку на Росію'",disinfo
"У дворі школи збудували новий дитячий майданчик",neutral
"Ракета пошкодила склад військового забезпечення під Авдіївкою",attack
"Фіксується ротація частин у прифронтових районах",movement
"Telegram-канали поширюють фейки про 'референдуми за приєднання'",disinfo
"У місті відкрився літній кінотеатр під відкритим небом",neutral
"Артобстріл знищив кілька логістичних маршрутів",attack
"Колона вантажівок із паливом прямує через Старобільськ",movement
"Прокремлівські акаунти просувають брехливі свідчення 'дезертирів'",disinfo
"У Палаці культури відкрито фотовиставку про Карпати",neutral
"Вибухи пролунали на об’єктах транспорту вночі",attack
"ЗСУ фіксують рух ворожих підрозділів через річку",movement
"Кремлівські канали повідомляють про 'масову втечу' українських військових",disinfo
"У зоопарку народилися нові тварини — запрошують на екскурсію",neutral
"Ворожа артилерія вдарила по складу гуманітарної допомоги",attack
"ЗС РФ перегруповуються на напрямку Новоайдару",movement
"Telegram-канали поширюють відео з акторськими 'зізнаннями полонених'",disinfo
"У крамниці з’явилася серія книжок про традиції регіону",neutral
"Дрон знищив технічний вузол поблизу фронту",attack
"Ротація особового складу спостерігається в районі Вугледара",movement
"РФ поширює твердження, що Україна 'не хоче миру'",disinfo
"На фестивалі майстрів представили роботи з усієї області",neutral
"Повітряна атака вивела з ладу трансформаторну станцію",attack
"БТРи ворога зафіксовано в полі біля Соледара",movement
"Канали РФ публікують вигадані 'мирні ініціативи України'",disinfo
"На центральній вулиці відновили освітлення",neutral
"Ракетний удар спричинив пожежу на складі боєприпасів",attack
"Танкові підрозділи ворога просуваються на захід",movement
"Пропаганда поширює інформацію про 'відмову України від дипломатії'",disinfo
"У парку з’явились нові альтанки та ліхтарі",neutral
"Ракетний удар знищив енергетичні об'єкти поблизу Кременчука",attack
"Колона техніки РФ прямує в напрямку Куп’янська",movement
"Пропагандисти стверджують, що ЗСУ ведуть війну проти християнства",disinfo
"У школі проходить олімпіада з математики",neutral
"Повітряна атака пошкодила залізничну інфраструктуру",attack
"Бронетехніка супротивника зосереджується поблизу Ізюма",movement
"РосЗМІ заявляють, що Україна вела агресію першою",disinfo
"На центральній вулиці відбулась виставка квітів",neutral
